Priorität;Firma;Kategorie;Ansprechpartner;Telefon;Email;PLZ;Ort;Gesprächsaufhänger;Notiz
A;Straßen- und Grünflächenamt Mitte;Kommune;;030 9018-22823;sga@ba-mitte.berlin.de;10178;Berlin-Mitte;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Straßen- und Grünflächenamt Pankow;Kommune;;030 90295-8510;sga-pankow@ba-pankow.berlin.de;13088;Berlin-Pankow;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Patrick Reichelt & Team;Privat (GaLaBau);;030 845083-94;info@reichelt-garten.de;14167;Berlin-Steglitz;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Gartengestaltung, Gartenpflege, Pflasterarbeiten
A;Straßen- und Grünflächenamt Treptow-Köpenick;Kommune;;030 90297-5823;post@ba-tk.berlin.de;12435;Berlin-Treptow-Köpenick;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Umweltbetrieb – Geschäftsbereich Stadtgrün und Friedhöfe;Kommune;;0521 51-8331;umweltbetrieb@bielefeld.de;33609;Bielefeld;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Hantels GaLa Bau GmbH;Privat (GaLaBau);;0176 31013781;mail@hantels-galabau.de;33729;Bielefeld;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;"GaLaBau, Pflasterarbeiten, Zaunbau, Baumpflege; Einzugsgebiet Bielefeld/Herford/Bad Salzuflen; Inh.: Lukas Hantel"
A;Umwelt- und Grünflächenamt;Kommune;;0234 910-4609;umweltamt@bochum.de;44777;Bochum;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Brandschädel Gartenplanungs- und Landschaftsbau GmbH;Privat (GaLaBau);;0234 232096;info@brandschaedel.de;44805;Bochum;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau seit über 50 Jahren, Pflaster, Gartenplanung, Zaunbau, 2. Generation
A;OM Galabau GmbH;Privat (GaLaBau);;02327 9953230;kontakt@om-galabau.de;44869;Bochum;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;"Pflasterarbeiten für Wege/Einfahrten/Terrassen, Gartengestaltung; GF: Marie Pelz"
A;Amt fuer Umwelt und Stadtgruen;Kommune;;0228 77-4499;info-stadtgruen@bonn.de;53111;Bonn;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Fachbereich Umwelt und Grün (68);Kommune;;02041 70-3116;fachbereich68@bottrop.de;46236;Bottrop;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Blanik GmbH & Co. KG;Privat (GaLaBau);;02045 7767;galabau@blanik.de;46244;Bottrop;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;"GaLaBau, Gartenplanung, Pflaster, Bepflanzung, Freiraum; Inh.: Dirk Blanik"
A;Amt für Abfallwirtschaft, Bodenschutz und Grünflächen;Kommune;Martina Müller;03381 58-3143;martina.mueller@stadt-brandenburg.de;14770;Brandenburg a. d. Havel;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Fachbereich Stadtgruen (FB 67);Kommune;;0531 / 470-4910;stadtgruen@braunschweig.de;38102;Braunschweig;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Garland Garten und Landschaftsbau;Privat (GaLaBau);;0421 251716;gartenbau@garland-bremen.de;28357;Bremen;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau, Pflasterarbeiten, Wegebau, Gartengestaltung (20+ J. Erfahrung)
A;Gartenbauamt Bremerhaven;Kommune;;0471 590-2523;Gartenbauamt@magistrat.bremerhaven.de;27580;Bremerhaven;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Tiefbau- und Grünflächenamt;Kommune;Frank Bader (Amtsleiter);07031 669-3351;bader@boeblingen.de;71032;Böblingen;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Fachbereich Stadtgrün;Kommune;;02305 106-0;info@castrop-rauxel.de;44575;Castrop-Rauxel;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Grünflächenamt;Kommune;;0371 488-6701;gruenflaechenamt@stadt-chemnitz.de;09111;Chemnitz;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Grünflächenamt;Kommune;;09561 89-1671;gruenflaechenamt@coburg.de;96450;Coburg;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;ML Gartenplus GmbH;Privat (GaLaBau);;02541 716906;info@ml-gartenplus.de;48653;Coesfeld;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;"GaLaBau, Gartengestaltung, Pflaster; Einzugsgebiet Münsterland/Borken/Münster; GF: Leonard Uebbing / Mike Roters"
A;Grünflächenamt;Kommune;;0355 612-2715;gruenflaechenamt@cottbus.de;03046;Cottbus;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Schiller Gartengestaltung GmbH;Privat (GaLaBau);;04721 426111;info@schiller-galabau.de;27474;Cuxhaven;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau, Gartenplanung, Dachbegruenung, Baumpflege, Pflasterarbeiten
A;Grünflächenamt der Wissenschaftsstadt Darmstadt;Kommune;;06151 / 13-2900;gruenflaechenamt@darmstadt.de;64295;Darmstadt;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Stadtpflege – Grünflächenmanagement;Kommune;Frau Jaquet;0340 204-1077;stadtpflege.jaquet@dessau-rosslau.de;06842;Dessau-Roßlau;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Fachbereich Stadtentwicklung – Grünflächen;Kommune;Rainer Heidenreich (TL);05231 977-0;info@detmold.de;32756;Detmold;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Fachdienst Stadtgrün und Friedhöfe;Kommune;;02064 66-0;info@dinslaken.de;46535;Dinslaken;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Fachbereich Stadtgrün und Umwelt;Kommune;;02362 66-0;info@dorsten.de;46282;Dorsten;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Grünflächenamt;Kommune;;0231 50-24175;gruenflaechenamt@dortmund.de;44135;Dortmund;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Ludger Groppe Garten- und Landschaftsbau GmbH;Privat (GaLaBau);;0231 712549;info@groppe-gmbh.de;44225;Dortmund;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;"GaLaBau, Pflaster- und Wegebau mit Betonstein, Gartengestaltung; GF: Ludger Groppe"
A;Farys Galabau;Privat (GaLaBau);;0175 5085176;info@farys-galabau.de;44309;Dortmund;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau, Pflasterarbeiten für Wege/Terrassen/Zufahrten, Gartengestaltung
A;Andreas Kaika GaLa-Bau;Privat (GaLaBau);;0231 256408;info@kaika-galabau.de;44309;Dortmund;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;"GaLaBau, Pflasterarbeiten, Asphaltierung, Baumfällung, Zaunbau; Inh.: Andreas Kaika"
A;Amt für Stadtgrün und Abfallwirtschaft;Kommune;;0351 4887101;stadtgruen-und-abfallwirtschaft@dresden.de;01067;Dresden;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Hansel Garten- und Landschaftsbau GmbH;Privat (GaLaBau);;0351 262070;info@hansel.de;01328;Dresden;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;"Gartengestaltung, Pflasterarbeiten, Bepflanzung, Pflege; seit 1994"
A;Thümer Landschaftsbau GmbH;Privat (GaLaBau);;0351 215-23777;service@thuemer-landschaftsbau.de;01257;Dresden;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;"Privatgärten, Gewerbe-Außenanlagen, Terrassen, Wege, Poolbau; über 30 Jahre Erfahrung"
A;Amt fuer Tiefbau und Gruenflaechen;Kommune;;02421 25-2651;tiefbauamt@dueren.de;52349;Dueren;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Amt für Umwelt und Grün / Wirtschaftsbetriebe Duisburg;Kommune;;0203 283-5790;umweltamt@stadt-duisburg.de;47049;Duisburg;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Garten-, Friedhofs- und Forstamt;Kommune;;0211 89-94800;gartenamt@duesseldorf.de;40474;Düsseldorf;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Natura Becher GmbH & Co. KG;Privat (GaLaBau);;0211 79-6241;info@natura-duesseldorf.de;40593;Düsseldorf;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;"GaLaBau seit 25 Jahren, Wegebau, Pflasterarbeiten, Terrassen, Baumfällung, Gartengestaltung; GF: Dirk J. Becher / Jim D. Becher"
A;Lemp Garten- & Landschaftsbau;Privat (GaLaBau);;0211 279600;lemp.galabau@outlook.de;40627;Düsseldorf;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;"GaLaBau, Pflasterarbeiten, Terrassen, Gartengestaltung, Zaunbau; Inh.: Michael Lemp"
A;EasyGalaBau (EasyWohnBau GmbH);Privat (GaLaBau);;01516 2551900;info@easygalabau.de;79238;Ehrenkirchen;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau, Außenanlagen, Pflasterarbeiten, Gebäudeabdichtungen
A;Nagelschmitz und Breitegger Gaerten GmbH;Privat (GaLaBau);;02235 927060;info@nagelschmitz.com;50374;Erftstadt;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Pflasterarbeiten, Wegebau, Terrassen, Einfahrten, Gartengestaltung
A;Garten- und Friedhofsamt;Kommune;;0361 655-5801;gruenflaechen.gartenamt@erfurt.de;99092;Erfurt;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;HTL Galabau GmbH;Privat (GaLaBau);;0361 2253921;info@HTL-Galabau.de;99094;Erfurt;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau, Außenanlagen, Pflasterarbeiten, seit 1996
A;Garten und Landschaftsbau Reik Mautsch;Privat (GaLaBau);;0361 26279652;r.mautsch@t-online.de;99091;Erfurt;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau, Außenanlagen, Tiefbau, Bewässerung
A;Betrieb für Stadtgrün, Abfallwirtschaft und Straßenreinigung;Kommune;;09131 86-2020;betriebshof@stadt.erlangen.de;91052;Erlangen;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Burkhardt Garten- und Landschaftsbau GmbH & Co. KG;Privat (GaLaBau);Erik Burkhardt, Jens Burkhardt (GF);06196 / 41532;info@galabau-burkhardt.de;65760;Eschborn;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;"GaLaBau, Pflasterarbeiten, Baumpflege, Neuanlagen, Winterdienst; 60 Jahre Erfahrung"
A;Zimmermann Garten- und Landschaftsbau;Privat (GaLaBau);;02403 21504;galabau@zimmermanngalabau.de;52249;Eschweiler;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau, Pflasterarbeiten, Wegebau, Gruenpflege, Floristik
A;Grün und Gruga Essen (Eigenbetrieb);Kommune;;0201 88-67301;gge@essen.de;45131;Essen;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Stadtgrün Ruhr GmbH;Privat (GaLaBau);Dirk Kolacek;0201 616989;info@stadtgruen.ruhr;45139;Essen;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Garten- und Landschaftsbau (Meisterbetrieb), Pflaster, Terrassen, Begrünung, Gewerbe-Außenanlagen
A;Christian Holm GaLaBau;Privat (GaLaBau);;0201 55-79288;anfrage@holm-gala.de;45131;Essen;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau seit 2001, Naturstein, Terrassen- und Wegebau, Gartengestaltung
A;Grünflächenamt;Kommune;;0711 3512-2686;Gruenflaechenamt@esslingen.de;73728;Esslingen am Neckar;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Sachgebiet Gruenflaechen und Forsten;Kommune;;02251 14-483;sgammersbach@euskirchen.de;53879;Euskirchen;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Link GmbH Garten- und Landschaftsbau;Privat (GaLaBau);;0711 951909;info@link-galabau.de;70736;Fellbach;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Innovative Außenanlagen, Pflasterarbeiten, Wegebau, öffentliche und gewerbliche Projekte
A;Technisches Betriebszentrum, Team Gruen und Forst;Kommune;;0461 85-8213;Baumschutz@tbz-flensburg.de;24943;Flensburg;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;GruenKonzept Flensburg GmbH;Privat (GaLaBau);;0461 500-90020;info@gruenkonzept-flensburg.de;24941;Flensburg;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau, Gartenpflege, Pflasterarbeiten, Gartengestaltung
A;Grünflächenamt (Amt 67);Kommune;;069 / 212-30991;gruenflaechenamt@stadt-frankfurt.de;60327;Frankfurt am Main;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Faszination GaLaBau -- Maximilian Quirin;Privat (GaLaBau);;06101 / 9958-809;info@faszination-galabau.de;60437;Frankfurt am Main;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Gartengestaltung, Pflasterarbeiten, Wegebau, Terrassen, Zaunbau
A;Roland Müller Garten- und Landschaftsbau GmbH;Privat (GaLaBau);;069 / 34058672;info@galabaumueller.de;65933;Frankfurt am Main;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;"GaLaBau, Pflasterarbeiten, Gartenpflege, Neuanlagen; Mitglied FGL Hessen-Thüringen"
