Priorität;Firma;Kategorie;Ansprechpartner;Telefon;Email;PLZ;Ort;Gesprächsaufhänger;Notiz
A;Düren;Kommune;-;02421 / 25-0;info@dueren.de;52349;Amt für Tiefbau und Verkehr Düren;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Vorpommersche Bau GmbH Anklam;Privat (Straßenbau);;03971 / 2510;info@vorpommersche-bau.de;17389;Anklam;Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;Straßen- und Tiefbau, Erdbau, Pflaster
A;Tiefbauamt der Stadt Augsburg;Kommune;;0821 / 324-7301;tiefbauamt@augsburg.de;86150;Augsburg;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Fachbereich Tiefbau und Umwelt;Kommune;;06172 / 100-6100;tiefbau@bad-homburg.de;61348;Bad Homburg v.d. Höhe;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Referat III-3 Tiefbau;Kommune;Thomas Hornung (Referatsleiter);0971 / 807-3300;tiefbau@stadt.badkissingen.de;97688;Bad Kissingen;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Bauamt der Stadt Bad Tölz (inkl. Tiefbau);Kommune;;08041 / 504-0;bauamt@bad-toelz.de;83646;Bad Tölz;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Fachgebiet Tiefbau der Stadt Baden-Baden;Kommune;;07221 / 93-2400;tiefbau@baden-baden.de;76530;Baden-Baden;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Stadt Bamberg – Bamberg Service (Straßen- und Brückenbau);Kommune;Norman Probst (Kontakt);0951 87-7300;strassenunterhalt@bamberg-service.de;96047;Bamberg;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Straßenunterhalt/Kommunale Erhaltung
A;Wilhelm Fischer GmbH Straßen- und Tiefbau;Privat (Straßenbau);;05105 / 5190;info@fischer-bau-barsinghausen.de;30890;Barsinghausen;Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;Straßenbau, Tiefbau, Kanalbau, Asphaltarbeiten
A;Kleinmachnow;Kommune;-;033203 / 877-100;bauamt@kleinmachnow.de;14532;Bauamt / Tiefbau Kleinmachnow;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Montabaur;Kommune;-;02602 / 126-0;info@montabaur.de;56410;Bauhof der Stadt Montabaur;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Tiefbauamt der Stadt Bautzen;Kommune;;03591 / 534-601;tiefbauamt@bautzen.de;02625;Bautzen;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Stadt Bayreuth – Tiefbauamt;Kommune;;0921 251494;tiefbauamt@stadt.bayreuth.de;95444;Bayreuth;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Straßen-/Gehwegunterhalt
A;Rügener Straßen- und Tiefbau GmbH;Privat (Straßenbau);;03838 / 8280;info@ruegen-strassenbau.de;18528;Bergen auf Rügen;Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;Straßenbau, Tiefbau, Asphalt, Pflaster
A;Kemna Bau Andreae GmbH & Co. KG - NL Berlin;Privat (Straßenbau);-;030 / 6008;info@kemna.de;12359;Berlin;Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;Asphaltbau, Straßeninstandsetzung, Deckenbau
A;MBN Bau AG;Privat (Straßenbau);;030 / 5400;info@mbn-bau.de;12681;Berlin;Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;Straßen- und Tiefbau, Asphaltbau, Sanierung
A;Jean Bratengeier GmbH - Straßen- und Tiefbau;Privat (Straßenbau);;030 / 7202;info@bratengeier.de;12277;Berlin;Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;Straßen- und Tiefbau, Pflasterarbeiten, Asphalt
A;Schälerbau Berlin GmbH;Privat (Straßenbau);;030 / 9349;info@schaelerbau.de;12679;Berlin;Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;Straßen- und Tiefbau, Asphaltierung
A;KommunalBau GmbH Berlin;Privat (Straßenbau);;030 / 4146;info@kommunalbau-berlin.de;13407;Berlin;Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;Straßeninstandsetzung, Pflaster, Tiefbau
A;GSB Straßenbau GmbH Berlin;Privat (Straßenbau);;030 / 4365;info@gsb-strassenbau.de;13509;Berlin;Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;Straßen- und Wegebau, Asphaltierung, Flickarbeiten
A;Tiefbau Barnim GmbH Bernau;Privat (Straßenbau);;03338 / 7530;info@tiefbau-barnim.de;16321;Bernau bei Berlin;Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;Tiefbau, Straßenbau, Kanalbau, Erdbau
A;Fachbereich Tiefbau und Stadtgrün;Kommune;;03471 / 659-0;info@bernburg.de;06406;Bernburg (Saale);Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Fachbereich Bau / Sachgebiet Tiefbau;Kommune;;03493 / 341-0;info@bitterfeld-wolfen.de;06749;Bitterfeld-Wolfen;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Harzer Hoch- und Tiefbau GmbH;Privat (Straßenbau);;03944 / 3620;info@hht-blankenburg.de;38889;Blankenburg (Harz);Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;"Straßenbau, Tiefbau, Asphalt, Pflaster; Region Ostharz"
A;Fachbereich Tiefbau;Kommune;;02871 / 953-0;info@mail.bocholt.de;46395;Bocholt;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Tiefbauamt;Kommune;Birgit Muéll (Amtsleiterin);0234 / 910-3661;tiefbauamt@bochum.de;44777;Bochum;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Straßen- und Tiefbau Jopp GmbH;Privat (Straßenbau);;0234 / 9517;info@jopp-bau.de;44793;Bochum;Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;Straßenbau, Asphalt, Pflaster, Tiefbau
A;Scherp Bau GmbH;Privat (Straßenbau);;0234 / 4133;info@scherp-bau.de;44879;Bochum;Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;Straßen-/Tiefbau, Kanalbau, Pflaster
A;Fachbereich Tiefbau;Kommune;;02861 / 939-0;info@borken.de;46325;Borken;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Haddick & Sohn GmbH;Privat (Straßenbau);;02861 / 92443;mail@haddick.de;46325;Borken;Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;Erdbau, Kanal- und Straßenbau, Landschaftsbau
A;Fachbereich Tiefbau (66);Kommune;;02041 / 70-5050;tiefbauamt@bottrop.de;46236;Bottrop;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Fricke Schüttpelz GmbH & Co. KG;Privat (Straßenbau);;0531 / 8018;info@fricke-schuetzpelz.de;38112;Braunschweig;Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;Straßen-/Tiefbau, Asphalt, Kanalbau, Pflasterarbeiten
A;Tiefbauamt der Stadt Böblingen;Kommune;;07031 / 669-1500;tiefbauamt@boeblingen.de;71032;Böblingen;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Tiefbau / Bauamt der Stadt Calw;Kommune;;07051 / 167-600;bauamt@calw.de;75365;Calw;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Fachbereich Tiefbau;Kommune;;02305 / 106-0;info@castrop-rauxel.de;44575;Castrop-Rauxel;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Tiefbauamt (Amt 66) der Stadt Chemnitz;Kommune;Thomas Blankenhagel (amt. Amtsleiter);0371 / 488-6601;tiefbauamt@stadt-chemnitz.de;09111;Chemnitz;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Coburger Entsorgungs- und Baubetrieb (CEB) – SG 200 Straßen, Gewässer;Kommune;Karl Baier (Stadtbauamt);09561 / 749-5555;info@ceb-coburg.de;96450;Coburg;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Tiefbauamt;Kommune;;02541 / 939-0;info@coesfeld.de;48653;Coesfeld;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Tiefbauamt der Großen Kreisstadt Dachau;Kommune;;08131 / 75-0;tiefbauamt@dachau.de;85221;Dachau;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Eigenbetrieb für kommunale Aufgaben und Dienstleistungen (EAD) – Bereich Straßenunterhaltung;Kommune;;06151 / 13-2714;ead@darmstadt.de;64283;Darmstadt;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Tiefbauverwaltung Landkreis Deggendorf;Kommune;;0991 / 3100-178;Tiefbauverwaltung@lra-deg.bayern.de;94469;Deggendorf (Lkr.);Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Fachbereich Bau und Stadtentwicklung (inkl. Tiefbau);Kommune;;034202 / 670-0;info@delitzsch.de;04509;Delitzsch;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Tiefbauamt der Stadt Dessau-Roßlau;Kommune;;0340 / 204-2061;tiefbauamt@dessau-rosslau.de;06844;Dessau-Roßlau;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Fachdienst 5.1 - Tiefbau;Kommune;;02064 / 66-0;info@dinslaken.de;46535;Dinslaken;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Bauamt der Großen Kreisstadt Donauwörth;Kommune;;0906 / 789-0;bauamt@donauwoerth.de;86609;Donauwörth;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Tiefbauamt (66);Kommune;Herr Füting;02362 / 66-4800;info@dorsten.de;46282;Dorsten;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Tiefbauamt (StA 66);Kommune;Sylvia Uehlendahl (Amtsleiterin);0231 / 50-22668;tiefbauamt@dortmund.de;44137;Dortmund;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Arge Asphalt Ruhr GmbH;Privat (Straßenbau);;0231 / 9254;info@arge-asphalt.de;44309;Dortmund;Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;Asphaltmischwerke, Walzasphalt, Splittmastix
A;Friedrich Freund Straßenbau GmbH;Privat (Straßenbau);;0231 / 7517;info@freund-strassenbau.de;44227;Dortmund;Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;Straßen-/Asphaltbau, Sanierung, Pflaster
A;GEHRKEN Straßen- und Tiefbau GmbH & Co. KG;Privat (Straßenbau);;0231 / 9860;info@gehrken.de;44147;Dortmund;Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;Straßen-/Tiefbau, Kanalbau, Erschließung
A;Schleith GmbH - NL NRW;Privat (Straßenbau);;0231 / 7289;info@schleith.de;44135;Dortmund;Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;Straßen-/Tiefbau, Leitungsbau, Kanalbau
A;Fachdienst Tiefbau der Stadt Dreieich;Kommune;;06103 / 601-400;tiefbau@dreieich.de;63303;Dreieich;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Straßen- und Tiefbauamt (Amt 66) der Landeshauptstadt Dresden;Kommune;;0351 / 488-6600;strassenamt@dresden.de;01069;Dresden;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Amt für Stadtentwicklung / Wirtschaftsbetriebe Duisburg;Kommune;;0203 / 94000;wb@stadt-duisburg.de;47051;Duisburg;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Albert Weil AG - NL Duisburg;Privat (Straßenbau);;0203 / 5136;info@albertweil.de;47051;Duisburg;Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;Straßen-/Asphaltbau, Gussasphalt, Sanierung
A;Bauamt / Sachgebiet Tiefbau der Großen Kreisstadt Döbeln;Kommune;;03431 / 579-0;info@doebeln.de;04720;Döbeln;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Amt für Verkehrsmanagement (Abt. Straßenbau);Kommune;Katharina Metzker (Amtsleiterin);0211 / 89-91;strassenbau@duesseldorf.de;40225;Düsseldorf;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Schüssler Straßen- und Tiefbau GmbH;Privat (Straßenbau);;0211 / 3846;info@schuessler-bau.de;40233;Düsseldorf;Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;Straßen-/Tiefbau, Asphalt, Kanalbau
A;Kiel Straßen- und Tiefbau GmbH;Privat (Straßenbau);;0211 / 756890;info@kiel-bau.de;40591;Düsseldorf;Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;Straßenbau, Asphalt, Pflaster, Erschließung
A;Nordpflaster GmbH Eberswalde;Privat (Straßenbau);;03334 / 3820;info@nordpflaster.de;16225;Eberswalde;Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;Pflasterbau, Straßeninstandsetzung, Tiefbau
A;Leverkusen;Kommune;-;0214 / 406-0;tiefbau@stadt.leverkusen.de;51373;Eigenbetrieb Straßen Leverkusen;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Meschede;Kommune;-;0291 / 205-0;info@meschede.de;59872;Eigenbetrieb Straßen Meschede;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Hennef;Kommune;-;02242 / 888-0;info@hennef.de;53773;Eigenbetrieb Straßenunterhaltung Hennef;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Stadt Eisenach – Amt für Tiefbau und Grünflächen;Kommune;;03691 670 841;infrastruktur@eisenach.de;99817;Eisenach;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Wiederherstellung öffentlicher Verkehrsflächen (inkl. frostsicherer Aufbauvorgaben)
A;Bauamt / Fachbereich Bau und Planung;Kommune;;03475 / 655-0;stadtverwaltung@eisleben.eu;06295;Eisleben (Lutherstadt);Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Tiefbauamt;Kommune;;02572 / 922-0;info@emsdetten.de;48282;Emsdetten;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Bauamt / Sachgebiet Tiefbau der Stadt Erding;Kommune;;08122 / 408-0;bauamt@erding.de;85435;Erding;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Stadt Erfurt – Tiefbau- und Verkehrsamt;Kommune;Alexander Reintjes (Amtsleiter);0361 655-6040;anfrage.tiefbau-verkehr@erfurt.de;99084;Erfurt;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Planung/Bau/Unterhalt von Verkehrsanlagen
A;Stadt Erlangen – Tiefbauamt;Kommune;Helmut Schmidt (Abteilungsleitung);09131 86-1800;helmut.schmidt@stadt.erlangen.de;91052;Erlangen;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Betrieb & Unterhalt von Verkehrsflächen
A;Amt für Straßen und Verkehr;Kommune;;0201 / 88-66000;amt66@essen.de;45127;Essen;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Spieker Straßen- und Tiefbau GmbH;Privat (Straßenbau);;0201 / 5560;info@spieker-bau.de;45307;Essen;Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;Straßen-/Asphaltbau, Pflaster, Instandsetzung
A;Tiefbauamt der Stadt Esslingen;Kommune;;0711 / 3512-2610;tiefbauamt@esslingen.de;73728;Esslingen am Neckar;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Aachen;Kommune;-;0241 / 432-0;tiefbau@mail.aachen.de;52058;Fachbereich Stadtentwicklung und Verkehrsanlagen Aachen;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Gummersbach;Kommune;-;02261 / 87-0;info@gummersbach.de;51643;Fachbereich Straßen und Verkehr Gummersbach;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Arnsberg;Kommune;-;02932 / 201-0;info@arnsberg.de;59821;Fachbereich Tiefbau Arnsberg;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Attendorn;Kommune;-;02722 / 64-0;info@attendorn.de;57439;Fachbereich Tiefbau Attendorn;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Bad Neuenahr-Ahrweiler;Kommune;-;02641 / 87-0;info@bad-neuenahr-ahrweiler.de;53474;Fachbereich Tiefbau Bad Neuenahr-Ahrweiler;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Bitburg;Kommune;-;06561 / 6003-0;info@bitburg.de;54634;Fachbereich Tiefbau Bitburg;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Brandenburg a.d.H.;Kommune;-;03381 / 58-6300;tiefbau@stadt-brandenburg.de;14770;Fachbereich Tiefbau Brandenburg an der Havel;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Buchholz i.d.N.;Kommune;-;04181 / 214-0;info@buchholz.de;21244;Fachbereich Tiefbau Buchholz in der Nordheide;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Eberswalde;Kommune;-;03334 / 64-600;tiefbau@eberswalde.de;16225;Fachbereich Tiefbau Eberswalde;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Euskirchen;Kommune;-;02251 / 14-0;info@euskirchen.de;53879;Fachbereich Tiefbau Euskirchen;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Falkensee;Kommune;-;03322 / 281-200;tiefbau@falkensee.de;14612;Fachbereich Tiefbau Falkensee;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Frankfurt (Oder);Kommune;-;0335 / 552-6100;tiefbau@frankfurt-oder.de;15230;Fachbereich Tiefbau Frankfurt (Oder);Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
